image_name,confidence,IoU
IMG_20180723_123254.jpg,0.9453887343406677,0.9714197516441345
IMG_20180724_121206.jpg,0.7706068158149719,0.027237318456172943
IMG_20180714_103537.jpg,0.9392268061637878,0.9254266023635864
IMG_20180721_090151.jpg,0.6323800683021545,0.7849329710006714
IMG_20180719_141917.jpg,0.668404757976532,0.3672330677509308
IMG_20180719_125126.jpg,0.9533658027648926,0.8676958680152893
IMG_20180721_090927.jpg,0.4791230857372284,0.8626852631568909
IMG_20100101_021624.jpg,0.9455169439315796,0.8927060961723328
IMG_20180725_114304.jpg,0.9368903636932373,0.9523900151252747
IMG_20180723_122546.jpg,0.0,0.0
IMG_20180724_123854.jpg,0.9626966714859009,0.67963045835495
IMG_20180724_130100.jpg,0.9381970167160034,0.8580009937286377
IMG_20100101_033337.jpg,0.9259636998176575,0.9189524054527283
IMG_20180719_143723.jpg,0.9224085211753845,0.9234812259674072
IMG_20180811_083610.jpg,0.0,0.0
IMG_20180724_121053.jpg,0.948136568069458,0.9516981244087219
IMG_20180717_122331.jpg,0.9409518837928772,0.0
IMG_20100101_031404.jpg,0.9556861519813538,0.9622500538825989
IMG_20180726_122312.jpg,0.7556732296943665,0.804312527179718
IMG_20180725_120143.jpg,0.6561888456344604,0.0
IMG_20180714_102511.jpg,0.9320512413978577,0.8358045816421509
IMG_20180724_150758.jpg,0.9425246119499207,0.753765344619751
IMG_20180723_123915.jpg,0.9447273015975952,0.8372654914855957
IMG_20180810_092957.jpg,0.9207960367202759,0.5364587903022766
IMG_20100101_033101.jpg,0.941078245639801,0.7785383462905884
IMG_20180714_102857.jpg,0.896795392036438,0.7496927976608276
IMG_20180725_121940.jpg,0.9472957849502563,0.8796566128730774
IMG_20180726_122652.jpg,0.9416087865829468,0.91077721118927
IMG_20180810_092151.jpg,0.9171299338340759,0.9243307113647461
IMG_20100101_031805.jpg,0.9408884644508362,0.9373805522918701
IMG_20180723_144939.jpg,0.726367712020874,0.7705674171447754
IMG_1246.jpg,0.9364629983901978,0.9022094011306763
IMG_20180720_142731.jpg,0.950456440448761,0.9867263436317444
IMG_20100101_033559.jpg,0.9427763819694519,0.8217772245407104
IMG_20180725_120338.jpg,0.9359066486358643,0.898400068283081
IMG_20180714_103949.jpg,0.9297664761543274,0.82743239402771
IMG_20180714_102729.jpg,0.93746018409729,0.8154077529907227
IMG_20100101_032415.jpg,0.916986882686615,0.8999972343444824
IMG_20180723_124655.jpg,0.7538906931877136,0.0
IMG_20180810_092905.jpg,0.9497895240783691,0.8967999219894409
IMG_20100101_032219.jpg,0.5201541185379028,0.8465119004249573
IMG_20180723_124904.jpg,0.0,0.0
IMG_20180713_105001.jpg,0.9405037760734558,0.8032788038253784
IMG_20180719_124651.jpg,0.8668495416641235,0.0
IMG_20180725_142219.jpg,0.9321488738059998,0.8912866115570068
IMG_20180811_084336.jpg,0.9183456301689148,0.904477596282959
IMG_20180810_093037.jpg,0.9501557946205139,0.9111693501472473
IMG_20180723_123939.jpg,0.9214862585067749,0.949886679649353
IMG_20100101_022648.jpg,0.9418728947639465,0.8981384634971619
IMG_20100101_033158.jpg,0.0,0.0
IMG_20180720_142509.jpg,0.9503369331359863,0.9111354351043701
IMG_20100101_030359.jpg,0.901507556438446,0.7336362600326538
IMG_20180723_122303.jpg,0.0,0.0
IMG_20180713_110324.jpg,0.506605327129364,0.0
IMG_20180723_123106.jpg,0.8641618490219116,0.8115836381912231
IMG_20180720_142558.jpg,0.9502015113830566,0.8402551412582397
IMG_20180723_124006.jpg,0.8353027701377869,0.6643213629722595
IMG_20180811_083617.jpg,0.0,0.0
IMG_20180723_145121.jpg,0.9658598899841309,0.9119080901145935
IMG_20180721_091635.jpg,0.8558342456817627,0.7085896134376526
IMG_20180721_090336.jpg,0.9502950310707092,0.415043443441391
IMG_20180724_121832.jpg,0.9217137098312378,0.9359617233276367
IMG_20180723_145744.jpg,0.9563818573951721,0.9099990129470825
IMG_1240.jpg,0.9504925608634949,0.9313632249832153
IMG_20180718_105313.jpg,0.8488040566444397,0.5467690229415894
IMG_20180724_120909.jpg,0.9394537210464478,0.9218940734863281
IMG_1251.jpg,0.8363360166549683,0.7735006213188171
IMG_20180810_092230.jpg,0.9127587676048279,0.8881610035896301
IMG_20180720_142545.jpg,0.8681452870368958,0.8314775228500366
IMG_1244.jpg,0.9389517903327942,0.721615731716156
IMG_20180724_121957.jpg,0.0,0.0
IMG_20100101_032317.jpg,0.8996774554252625,0.9118590354919434
IMG_20180719_143637.jpg,0.9230627417564392,0.7656450867652893
